Timestamp,AvgVal
2023-11-01 23:46:49.066326,30630.75022222222
2023-11-01 23:46:49.283569,30626.416222222222
2023-11-01 23:46:49.383154,30621.905777777778
2023-11-01 23:46:49.508950,30620.914444444443
2023-11-01 23:46:49.600271,30621.21622222222
2023-11-01 23:46:49.725910,30622.346
2023-11-01 23:46:49.951721,30626.923777777778
2023-11-01 23:46:50.082816,30620.956
2023-11-01 23:46:50.178020,30619.095333333335
2023-11-01 23:46:50.303517,30620.263777777778
2023-11-01 23:46:50.398787,30620.260222222223
2023-11-01 23:46:50.528909,30626.816
2023-11-01 23:46:50.622895,30629.33577777778
2023-11-01 23:46:50.755875,30621.877111111113
2023-11-01 23:46:50.879973,30605.756222222222
2023-11-01 23:46:50.977130,30605.340444444446
2023-11-01 23:46:51.105013,30603.417555555556
2023-11-01 23:46:51.202282,30600.980888888887
2023-11-01 23:46:51.328107,30604.022
2023-11-01 23:46:51.432306,30590.705777777777
2023-11-01 23:46:51.556807,30583.09311111111
2023-11-01 23:46:51.660634,30587.502
2023-11-01 23:46:51.777786,30579.485555555555
2023-11-01 23:46:51.905741,30578.405555555557
2023-11-01 23:46:52.014636,30532.457333333332
2023-11-01 23:46:52.129493,30431.172
2023-11-01 23:46:52.223496,30489.447333333334
2023-11-01 23:46:52.358735,30545.522222222222
2023-11-01 23:46:52.575873,30575.060222222222
2023-11-01 23:46:52.710731,30607.24511111111
2023-11-01 23:46:52.926602,30619.29533333333
2023-11-01 23:46:53.022283,30614.924
2023-11-01 23:46:53.152036,30622.559333333335
2023-11-01 23:46:53.246369,29569.506444444443
2023-11-01 23:46:53.376579,30616.88288888889
2023-11-01 23:46:53.471938,30617.656444444445
2023-11-01 23:46:53.600495,30614.03777777778
2023-11-01 23:46:53.726047,30616.393333333333
2023-11-01 23:46:53.822392,30616.034444444445
2023-11-01 23:46:53.951023,30616.427555555554
2023-11-01 23:46:54.048859,30604.134444444444
2023-11-01 23:46:54.174649,30603.638
2023-11-01 23:46:54.273332,30603.34688888889
2023-11-01 23:46:54.399868,30595.99977777778
2023-11-01 23:46:54.509171,30597.576
2023-11-01 23:46:54.625210,30596.673333333332
2023-11-01 23:46:54.751684,30599.808
2023-11-01 23:46:54.849409,30599.55888888889
2023-11-01 23:46:56.680109,30669.906666666666
2023-11-01 23:46:56.818499,30670.650222222223
2023-11-01 23:46:56.905824,30676.476
2023-11-01 23:46:57.028590,30672.504666666668
2023-11-01 23:46:57.253050,30678.370222222224
2023-11-01 23:46:57.380567,30687.209333333332
2023-11-01 23:46:57.478825,30696.880222222222
2023-11-01 23:46:57.606070,30704.343555555555
2023-11-01 23:46:57.694430,30713.575555555555
2023-11-01 23:46:57.833659,30719.68888888889
2023-11-01 23:46:57.921283,30738.160666666667
